Date,NFLX
12-11-2019,292.025009
13-11-2019,287.2750095
14-11-2019,286.925003
15-11-2019,291.695007
18-11-2019,299.1349945
19-11-2019,302.095001
20-11-2019,304.625
21-11-2019,308.475006
22-11-2019,307.904999
25-11-2019,310.4900055
26-11-2019,314.095001
27-11-2019,314.7850035
29-11-2019,314.9799955
02-12-2019,309.0700075
03-12-2019,304.619995
04-12-2019,305.849991
05-12-2019,302.6450045
06-12-2019,305.225006
09-12-2019,306.964996
10-12-2019,295.4799955
11-12-2019,296.8150025
12-12-2019,297.1150055
13-12-2019,299.524994
16-12-2019,302.169998
17-12-2019,311.699997
18-12-2019,320.4799955
19-12-2019,328.50499
20-12-2019,334.300003
23-12-2019,334.4850005
24-12-2019,333.650009
26-12-2019,334.2350005
27-12-2019,329.9150085
30-12-2019,326.0249935
31-12-2019,323.0050045
02-01-2020,327.380005
03-01-2020,327.694992
06-01-2020,328.7799985
07-01-2020,333.5
08-01-2020,336.875
09-01-2020,339.014999
10-01-2020,332.8849945
13-01-2020,336.180008
14-01-2020,340.449997
15-01-2020,339.8850095
16-01-2020,339.705002
17-01-2020,339.475006
21-01-2020,336.794998
22-01-2020,329.949997
23-01-2020,337.4450075
24-01-2020,352.8650055
27-01-2020,346.4599915
28-01-2020,347.5899965
29-01-2020,343.974991
30-01-2020,343.725006
31-01-2020,344.185013
03-02-2020,352.955002
04-02-2020,362.8350065
05-02-2020,368.774994
06-02-2020,367.029999
07-02-2020,367.6849975
10-02-2020,368.6599885
11-02-2020,373.914993
12-02-2020,378.25
13-02-2020,380.9400025
14-02-2020,382.2899935
18-02-2020,384.3650055
19-02-2020,388.925003
20-02-2020,383.1900025
21-02-2020,382.6100005
24-02-2020,366.9100035
25-02-2020,366.6849975
26-02-2020,373.5
27-02-2020,381.080002
28-02-2020,366.7849885
02-03-2020,372.9299925
03-03-2020,380.4599915
04-03-2020,377.26001
05-03-2020,380.0200045
06-03-2020,364.080002
09-03-2020,349.595001
10-03-2020,356.1950075
11-03-2020,353.88501
12-03-2020,321.520004
13-03-2020,321.905014
16-03-2020,314.550003
17-03-2020,306.574997
18-03-2020,315.7899935
19-03-2020,332.6650085
20-03-2020,341.244995
23-03-2020,353.494995
24-03-2020,362.979996
25-03-2020,350.5850065
26-03-2020,352.7850035
27-03-2020,360.779999
30-03-2020,369.4850005
31-03-2020,374.725006
01-04-2020,370.625
02-04-2020,365.524994
03-04-2020,364.205002
06-04-2020,371
07-04-2020,375.3349915
08-04-2020,373.3500065
09-04-2020,367.5650025
13-04-2020,384.105011
14-04-2020,406.3350065
15-04-2020,423.6150055
16-04-2020,440.564987
17-04-2020,423.350006
20-04-2020,437.524994
21-04-2020,436.300003
22-04-2020,423
23-04-2020,428.835007
24-04-2020,421.525009
27-04-2020,424.919998
28-04-2020,411.955002
29-04-2020,404.7299955
30-04-2020,416.220001
01-05-2020,419.850006
04-05-2020,421.705002
05-05-2020,426.279999
06-05-2020,433.080002
07-05-2020,434.7700045
08-05-2020,437.8200075
11-05-2020,440.2250065
12-05-2020,437.764999
13-05-2020,437.1349945
14-05-2020,442.600006
15-05-2020,446.255005
18-05-2020,449.8549955
19-05-2020,454.720001
20-05-2020,449.904999
21-05-2020,439.6049955
22-05-2020,433.1349945
26-05-2020,420.8200075
27-05-2020,408.939987
28-05-2020,416.9349975
29-05-2020,416.074997
01-06-2020,421.350006
02-06-2020,423.5249935
03-06-2020,422.574997
04-06-2020,419.369995
05-06-2020,412.244995
08-06-2020,413.649994
09-06-2020,427.5200045
10-06-2020,435.119995
11-06-2020,434.8650055
12-06-2020,423.255005
15-06-2020,420.9550015
16-06-2020,431.569992
17-06-2020,444.839996
18-06-2020,447.779999
19-06-2020,449.7850035
22-06-2020,461.3999935
23-06-2020,469.255005
24-06-2020,463.1799925
25-06-2020,460.505005
26-06-2020,455.1349945
29-06-2020,439.905014
30-06-2020,452.294998
01-07-2020,471.1150055
02-07-2020,483.904999
06-07-2020,489.649994
07-07-2020,497.824997
08-07-2020,499.455002
09-07-2020,502.8899995
10-07-2020,533.580002
13-07-2020,548.1650085
14-07-2020,507.994995
15-07-2020,519.5899965
16-07-2020,519.9499815
17-07-2020,493.8650055
20-07-2020,494.350006
21-07-2020,497.414993
22-07-2020,492.200012
23-07-2020,481.9599915
24-07-2020,477.355011
27-07-2020,489.6150055
28-07-2020,492.7750095
29-07-2020,489.525009
30-07-2020,482.930008
31-07-2020,489.649994
03-08-2020,496.6600035
04-08-2020,504.544998
05-08-2020,505.650009
06-08-2020,504.7600095
07-08-2020,497.485001
10-08-2020,488.044998
11-08-2020,473.7350005
12-08-2020,476.3349915
13-08-2020,480.450012
14-08-2020,484.269989
17-08-2020,482.669998
18-08-2020,489.049988
19-08-2020,489
20-08-2020,491.4150085
21-08-2020,494.0650025
24-08-2020,492.080002
25-08-2020,488.7799985
26-08-2020,520.5599825
27-08-2020,531.125
28-08-2020,530.5
31-08-2020,524.7850035
01-09-2020,544.9200135
02-09-2020,546.9349975
03-09-2020,537.6600035
04-09-2020,506.669998
08-09-2020,508.5
09-09-2020,506.2850035
10-09-2020,492.5650025
11-09-2020,485.2700045
14-09-2020,480.144989
15-09-2020,489.550003
16-09-2020,493.985001
17-09-2020,470.8349915
18-09-2020,469
21-09-2020,477.050003
22-09-2020,485.5400085
23-09-2020,480.0200045
24-09-2020,472.4100035
25-09-2020,476.449997
28-09-2020,484.9400025
29-09-2020,491.410004
